Project ID,Toolkit Locations Found by Autocoder,All Toolkit Locations,All Autocoder Locations,Percentage Correct of Locations Found by Autocoder,Percentage Incorrect of Locations Found by Autocoder
NGA/000272,2565342,"2332785, 2334797, 2335196, 2337542, 2565342, 2595346, 2595347",2565342,100.0,0.0
NGA/000273,2565343,2565343,2565343,100.0,0.0
NGA/000274,2597363,2597363,2597363,100.0,0.0
NGA/000276,2328926,2328926,2328926,100.0,0.0
NGA/000277,2328926,2328926,2328926,100.0,0.0
NGA/000278,2328926,2328926,2328926,100.0,0.0
NGA/000279,2328926,2328926,2328926,100.0,0.0
NGA/000280,2328926,2328926,2328926,100.0,0.0
NGA/000281,2328926,2328926,2328926,100.0,0.0
NGA/000282,2328926,2328926,2328926,100.0,0.0
NGA/000283,2328926,2328926,2328926,100.0,0.0
NGA/000284,,"7701432, 7701434, 7701535, 7701536, 7729982, 7730012, 7730015, 7730021, 7871265, 7873914, 7910343, 7932491, 8631808, 8631809, 8631810, 8632706, 8632707, 8632719, 8633722, 8634256, 8634957",2328926,0.0,100.0
NGA/000285,2328926,2328926,2328926,100.0,0.0
NGA/000286,,"2325190, 2597366",2328926,0.0,100.0
NGA/000287,2328926,2328926,2328926,100.0,0.0
NGA/000288,2328926,2328926,2328926,100.0,0.0
NGA/000289,2328926,2328926,2328926,100.0,0.0
NGA/000290,2328926,2328926,2328926,100.0,0.0
NGA/000291,2328926,2328926,2328926,100.0,0.0
NGA/000292,2328926,2328926,2328926,100.0,0.0
NGA/000293,2328926,2328926,2328926,100.0,0.0
NGA/000294,2328926,2328926,2328926,100.0,0.0
NGA/000295,2328926,2328926,2328926,100.0,0.0
NGA/000296,2328926,2328926,2328926,100.0,0.0
NGA/000297,2328926,2328926,2328926,100.0,0.0
NGA/000298,2328926,2328926,2328926,100.0,0.0
NGA/000299,2328926,2328926,2328926,100.0,0.0
NGA/000300,2328926,2328926,2328926,100.0,0.0
NGA/000301,2328926,2328926,2328926,100.0,0.0
NGA/000302,2328926,2328926,2328926,100.0,0.0
NGA/000304,2328926,2328926,2328926,100.0,0.0
NGA/000305,2328926,2328926,2328926,100.0,0.0
NGA/000306,2328926,2328926,2328926,100.0,0.0
NGA/000307,2328926,2328926,2328926,100.0,0.0
NGA/000308,2328926,2328926,2328926,100.0,0.0
NGA/000309,2328926,2328926,2328926,100.0,0.0
NGA/000310,2328926,2328926,2328926,100.0,0.0
NGA/000311,2328926,2328926,2328926,100.0,0.0
NGA/000312,2328926,2328926,2328926,100.0,0.0
NGA/000313,2328926,2328926,2328926,100.0,0.0
NGA/000314,2328926,2328926,2328926,100.0,0.0
NGA/000315,2328926,2328926,2328926,100.0,0.0
NGA/000316,2328926,2328926,2328926,100.0,0.0
NGA/000317,2328926,2328926,2328926,100.0,0.0
NGA/000318,2328926,2328926,2328926,100.0,0.0
NGA/000319,2328926,2328926,2328926,100.0,0.0
NGA/000320,2328926,2328926,2328926,100.0,0.0
NGA/000321,2328926,2328926,2328926,100.0,0.0
NGA/000322,2328926,2328926,2328926,100.0,0.0
NGA/000323,2328926,2328926,2328926,100.0,0.0
NGA/000324,2328926,2328926,2328926,100.0,0.0
NGA/000325,2328926,2328926,2328926,100.0,0.0
NGA/000326,2328926,2328926,2328926,100.0,0.0
NGA/000327,2328926,2328926,2328926,100.0,0.0
NGA/000328,2328926,2328926,2328926,100.0,0.0
NGA/000329,2328926,2328926,2328926,100.0,0.0
NGA/000330,2328926,2328926,2328926,100.0,0.0
NGA/000331,2328926,2328926,2328926,100.0,0.0
NGA/000332,2565342,"2565342, 2595347",2565342,100.0,0.0
NGA/000333,2565342,"2565342, 2595347",2565342,100.0,0.0
NGA/000334,2565342,"2565342, 2595347",2565342,100.0,0.0
NGA/000335,2328926,2328926,2328926,100.0,0.0
NGA/000336,2328926,2328926,2328926,100.0,0.0
NGA/000337,2328926,2328926,2328926,100.0,0.0
NGA/000338,2328926,2328926,2328926,100.0,0.0
NGA/000339,2328926,2328926,2328926,100.0,0.0
NGA/000340,2328926,2328926,2328926,100.0,0.0
NGA/000341,2328926,2328926,2328926,100.0,0.0
NGA/000342,2328926,2328926,2328926,100.0,0.0
NGA/000343,2328926,2328926,2328926,100.0,0.0
NGA/000344,2328926,2328926,2328926,100.0,0.0
NGA/000345,2328926,2328926,2328926,100.0,0.0
NGA/000346,2328926,2328926,2328926,100.0,0.0
NGA/000347,2328926,2328926,2328926,100.0,0.0
NGA/000348,2328926,2328926,2328926,100.0,0.0
NGA/000349,2328926,2328926,2328926,100.0,0.0
NGA/000350,2328926,2328926,2328926,100.0,0.0
NGA/000351,2335196,2335196,2335196,100.0,0.0
NGA/000352,2335196,2335196,2335196,100.0,0.0
NGA/000353,2328926,2328926,2328926,100.0,0.0
NGA/000354,2335196,2335196,2335196,100.0,0.0
NGA/000355,2328926,2328926,2328926,100.0,0.0
NGA/000356,2328926,2328926,2328926,100.0,0.0
NGA/000357,2328926,2328926,2328926,100.0,0.0
NGA/000358,2328926,2328926,2328926,100.0,0.0
NGA/000359,,"2334797, 2335196, 2335722",2328926,0.0,100.0
NGA/000360,2328926,2328926,2328926,100.0,0.0
NGA/000361,2328926,2328926,2328926,100.0,0.0
NGA/000362,2328926,2328926,2328926,100.0,0.0
NGA/000363,2328926,2328926,2328926,100.0,0.0
NGA/000364,2328926,2328926,2328926,100.0,0.0
NGA/000365,2328926,2328926,2328926,100.0,0.0
NGA/000366,2328926,2328926,2328926,100.0,0.0
NGA/000367,2335196,2335196,2335196,100.0,0.0
NGA/000368,2328926,2328926,2328926,100.0,0.0
NGA/000369,2335196,2335196,2335196,100.0,0.0
NGA/000370,2335196,2335196,2335196,100.0,0.0
NGA/000371,2328926,2328926,2328926,100.0,0.0
NGA/000372,2328926,2328926,2328926,100.0,0.0
NGA/000373,2328926,2328926,2328926,100.0,0.0
NGA/000374,2328926,2328926,2328926,100.0,0.0
NGA/000375,2328926,2328926,2328926,100.0,0.0
NGA/000376,2328926,2328926,2328926,100.0,0.0
NGA/000377,2328926,2328926,2328926,100.0,0.0
NGA/000378,2328926,2328926,2328926,100.0,0.0
NGA/000379,2328926,2328926,2328926,100.0,0.0
NGA/000380,2328926,2328926,2328926,100.0,0.0
NGA/000381,2328926,2328926,2328926,100.0,0.0
NGA/000382,2328926,2328926,2328926,100.0,0.0
NGA/000383,2328926,2328926,2328926,100.0,0.0
NGA/000384,2328926,2328926,2328926,100.0,0.0
NGA/000385,2328926,2328926,2328926,100.0,0.0
NGA/000386,2328926,2328926,2328926,100.0,0.0
NGA/000387,2328926,2328926,2328926,100.0,0.0
NGA/000388,2328926,2328926,2328926,100.0,0.0
NGA/000389,2328926,2328926,2328926,100.0,0.0
NGA/000391,2328926,2328926,2328926,100.0,0.0
NGA/000392,2328926,2328926,2328926,100.0,0.0
NGA/000393,2328926,2328926,2328926,100.0,0.0
NGA/000394,2328926,2328926,2328926,100.0,0.0
NGA/000396,2328926,2328926,2328926,100.0,0.0
NGA/000397,2328926,2328926,2328926,100.0,0.0
NGA/000398,2328926,2328926,2328926,100.0,0.0
NGA/000399,2328926,2328926,2328926,100.0,0.0
NGA/000400,2328926,2328926,2328926,100.0,0.0
NGA/000401,2328926,2328926,2328926,100.0,0.0
NGA/000402,2328926,2328926,2328926,100.0,0.0
NGA/000403,2328926,2328926,2328926,100.0,0.0
NGA/000404,2328926,2328926,2328926,100.0,0.0
NGA/000406,2328926,2328926,2328926,100.0,0.0
NGA/000407,2328926,2328926,2328926,100.0,0.0
NGA/000408,2328926,2328926,2328926,100.0,0.0
NGA/000409,2328926,2328926,2328926,100.0,0.0
NGA/000412,2328926,2328926,2328926,100.0,0.0
NGA/000414,2328926,2328926,2328926,100.0,0.0
NGA/000415,2328926,2328926,2328926,100.0,0.0
NGA/000416,2328926,2328926,2328926,100.0,0.0
NGA/000417,2328926,2328926,2328926,100.0,0.0
NGA/000418,2328926,2328926,2328926,100.0,0.0
NGA/000419,2328926,2328926,2328926,100.0,0.0
NGA/000420,2328926,2328926,2328926,100.0,0.0
NGA/000421,2328926,2328926,2328926,100.0,0.0
NGA/000422,2328926,2328926,2328926,100.0,0.0
NGA/000423,2328926,2328926,2328926,100.0,0.0
NGA/000424,2328926,2328926,2328926,100.0,0.0
NGA/000425,2328926,2328926,2328926,100.0,0.0
NGA/000426,2328926,2328926,2328926,100.0,0.0
NGA/000427,2328926,2328926,2328926,100.0,0.0
NGA/000428,2328926,2328926,2328926,100.0,0.0
NGA/000429,2328926,2328926,2328926,100.0,0.0
NGA/000430,2328926,2328926,2328926,100.0,0.0
NGA/000431,2328926,2328926,2328926,100.0,0.0
NGA/000432,2328926,2328926,2328926,100.0,0.0
NGA/000433,2328926,2328926,2328926,100.0,0.0
NGA/000434,2328926,2328926,2328926,100.0,0.0
NGA/000435,2328926,2328926,2328926,100.0,0.0
NGA/000436,2328926,2328926,2328926,100.0,0.0
NGA/000437,2328926,2328926,2328926,100.0,0.0
NGA/000438,2328926,2328926,2328926,100.0,0.0
NGA/000439,2328926,2328926,2328926,100.0,0.0
NGA/000440,2328926,2328926,2328926,100.0,0.0
NGA/000441,2328926,2328926,2328926,100.0,0.0
NGA/000445,2565342,"2346794, 2347468, 2565342, 2595347, 2597366, 2597367",2565342,100.0,0.0
NGA/000446,2565342,"2346794, 2347468, 2565342, 2595347, 2597366, 2597367",2565342,100.0,0.0
NGA/000447,2565342,"2346794, 2347468, 2565342, 2595347, 2597366, 2597367",2565342,100.0,0.0
NGA/000448,2565342,"2346794, 2347468, 2565342, 2595347, 2597366, 2597367",2565342,100.0,0.0
NGA/000449,2328926,2328926,2328926,100.0,0.0
NGA/000450,2328926,2328926,2328926,100.0,0.0
NGA/000451,2328926,2328926,2328926,100.0,0.0
NGA/000452,2328926,2328926,2328926,100.0,0.0
NGA/000453,2328926,2328926,2328926,100.0,0.0
NGA/000454,2328926,2328926,2328926,100.0,0.0
NGA/000455,2328926,2328926,2328926,100.0,0.0
NGA/000456,2328926,2328926,2328926,100.0,0.0
NGA/000457,2328926,2328926,2328926,100.0,0.0
NGA/000458,2328926,2328926,2328926,100.0,0.0
NGA/000459,2328926,2328926,2328926,100.0,0.0
NGA/000460,2328926,2328926,2328926,100.0,0.0
NGA/000461,2328926,2328926,2328926,100.0,0.0
NGA/000462,2328926,2328926,2328926,100.0,0.0
NGA/000463,2328926,2328926,2328926,100.0,0.0
